department,code,number,title,description,url
African and African-American Studies,AAAS,7,First Year Seminar,,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-7
African and African-American Studies,AAAS,9,Introduction to AAAS Diaspora Studies,"Introduction to AAAS Diaspora Studies is a pluri-disciplinary comparative and trans-historical team-taught course (with three professors) composed of three three-week units, respectively Africa, the Caribbean, and the United States. In addition to literary and social sciences texts, the course will consider music, the visual arts, science, diaspora theory, and research strategies. Topics include the coloniality of modernity; religio-racial self-fashioning; Diaspora identity and identification; African diaspora gender and sexuality; cuisine; pathogenicity, disease and chemical catastrophes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-9
African and African-American Studies,AAAS,10,Introduction to African-American Studies,"A multidisciplinary investigation into the lives and cultures of people of African descent in the Americas. Topics may include: the African background, religion and the black church, popular culture, slavery and resistance, morality and literacy, the civil rights movement, black nationalism, theories of race and race relations.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-10
African and African-American Studies,AAAS,11,Introduction to African Studies,"This course introduces a global socio-historical framework within which to examine Africa in relation to multiple African Diasporas and notions of mobility. Considering the historical contexts of contact between Africa, Europe, and the Americas, we examine cultural, economic, and philosophic aspects of Africa. We will examine how ideas of what it means to be African culturally, racially, and politically are continually produced and contested. The moment of independence of many African nation-states from European colonial rule in the mid 20th century operates as a centering point from which we will examine economics, race, politics, and artistic expressions. We will consider ideas of “tradition” and “modernity,” representations of Africa, more recent processes of commodification, as well as various cultural and political responses to them.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-11
African and African-American Studies,AAAS,12,Race and Slavery in U.S. History,"This course deals with the African heritage, origins of white racial attitudes toward blacks, the slave system in colonial and ante-bellum America, and free Black society in North America. Specific emphasis will be placed on the Afro-American experience and on the relationship between blacks and whites in early American society.  Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-12
African and African-American Studies,AAAS,13,Black America since the Civil War,"This course is a continuation of HIST 16. Among the topics to be discussed are Black Reconstruction, segregation and disfranchisement, migration, nationalism, Blacks and the New Deal, the impact of war on Blacks, and the 1960s. Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-13
African and African-American Studies,AAAS,14,Pre-Colonial African History,"This course will examine the social and economic history of Africa to 1800. Several interrelated themes of social organization, the expansion of trade, rise of new social classes, the emergence and disintegration of various states and European intervention will be discussed. Through our readings, we will visit every major historical region of Africa (north, east, central, west and south) at least once during the semester to illuminate the various themes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-14
African and African-American Studies,AAAS,15,History of Africa since 1800,"This course explores some of the major historical processes unfolding in Africa since 1800. Our analysis will focus on social and economic history as we examine Africa's integration into the international economy during the nineteenth century, the rise of new social classes, and the creation of the colonial and post-colonial state. Our primary case studies will be drawn from east, west and southern Africa to highlight both the similarities and differences of their historical development. Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-15
African and African-American Studies,AAAS,16,"History, Culture and Society: The Many Faces of Latin America","The Spanish discovery and conquest of this continent created Latin America and the Caribbean out of the diverse and complex realities of the pre-Columbian world. Since colonial times Latin American and Caribbean cultures have developed against a background of cultural repression, racial conflict, political domination, colonial exploitation, and gender inequality. And yet, in the midst of all this turmoil, Latin America and the Caribbean have produced an extraordinary variety and wealth of artistic creations, ranging from literature to the visual arts, from music to film. In this course we will turn to some of the works by Latin American and Caribbean artists and writers in an attempt to illuminate and explore some of the wonders of the cultural dynamics that shape the many faces of what we call Latin America and the Caribbean.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-16
African and African-American Studies,AAAS,18.03,Introduction to African Religions,"This course introduces the study of Indigenous African Religions, their cosmologies, histories, ritual structures, and their relationships to other aspects of African cultures.  Of particular importance will be ideas of gendered spiritual power, the spread of African-inspired religions to the Americas, and the nature of orally transmitted religious traditions.  Conversion to Islam and Christianity and reconversion from these religions will also be studied.  Finally, we examine the role of African religions in post-colonial African societies and the impact of globalization. Open to all.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-18-03
African and African-American Studies,AAAS,19,Africa and the World,"This course focuses on links between Africa and other parts of the world, in particular Europe and Asia. Readings, lectures, and discussions will address travel and migration, economics and trade, identity formation, empire, and cultural production. Rather than viewing Africa as separate from global processes, the course will address historical phenomena across oceans, deserts, cultures, and languages to demonstrate both the diversity of experiences and the long-term global connections among disparate parts of the world.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-19
African and African-American Studies,AAAS,20,Feminist Theory,"This seminar is designed to provide an overview of significant themes and debates within feminist theory. It is organized around several topic areas - most centrally Intersectionality and the Body (including the racially marked body, the covered body and the body in motion, across both national and gender boundaries).",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-20
